"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"153","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2181","10","110","10","488","87","0","498"
"156","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2261","5","114","5","494","75","0","499"
"154","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2301","6","116","15","487","118","0","493"
"155","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2501","13","126","11","486","115","0","499"
"159","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1961","11","99","9","480","97","0","491"
"158","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","3201","10","161","12","487","136","0","497"
"152","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","4121","4","207","28","486","264","0","490"
"167","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1161","15","59","19","462","163","0","477"
"163","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1741","14","88","10","477","62","0","491"
"162","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2161","6","109","8","487","67","0","493"
"165","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1781","8","90","14","478","130","0","486"
"161","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2981","11","150","11","483","110","0","494"
"164","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2381","10","120","13","486","109","0","496"
"169","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1381","13","70","14","476","74","0","489"
"166","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","4141","12","208","20","485","199","0","497"
"168","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","3701","13","186","22","483","169","0","496"
"173","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1681","14","85","9","478","69","0","492"
"170","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2721","12","137","8","484","127","0","496"
"160","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","5981","16","300","33","478","251","0","494"
"172","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2481","14","125","10","484","75","0","498"
"176","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1721","14","87","9","481","62","0","495"
"174","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2701","9","136","13","486","103","0","495"
"175","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2421","14","122","11","479","119","0","493"
"171","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","3261","9","164","24","472","216","0","481"
"177","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2621","13","132","10","484","95","0","497"
"180","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1721","10","87","15","482","88","0","492"
"178","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2981","9","150","12","487","130","0","496"
"181","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1941","8","98","12","484","92","0","492"
"179","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2901","12","146","14","486","118","0","498"
"184","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1781","9","90","11","475","98","0","484"
"182","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2481","16","125","11","482","76","0","498"
"183","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2241","8","113","12","481","93","0","489"
"185","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2061","18","104","15","458","132","0","476"
"188","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1861","12","94","11","481","69","0","493"
"187","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2461","12","124","10","481","88","0","493"
"193","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1141","8","58","9","472","96","0","480"
"189","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","3981","14","200","20","480","177","0","494"
"197","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1421","12","72","9","477","99","0","489"
"196","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1661","15","84","15","475","149","0","490"
"192","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2481","11","125","10","485","117","0","496"
"190","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2981","11","150","6","484","118","0","495"
"195","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2741","14","138","22","484","123","0","498"
"191","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","3261","10","164","20","487","155","0","497"
"194","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","3161","8","159","15","482","170","0","490"
"198","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2901","5","146","9","494","91","0","499"
"186","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","6181","13","310","29","485","233","0","498"
