"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"22","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1821","8","92","108","478","185","24115","486"
"13","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3041","17","153","42","472","79","40280","489"
"24","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1581","8","80","58","481","125","20935","489"
"25","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1121","7","57","99","474","191","14840","481"
"29","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1341","10","68","46","466","87","17755","476"
"30","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1361","11","69","45","476","90","17755","487"
"27","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1741","13","88","44","480","95","23055","493"
"28","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1761","9","89","74","483","157","23320","492"
"33","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1321","6","67","76","484","153","17490","490"
"26","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2401","14","121","36","477","65","31800","491"
"31","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1861","10","94","45","482","91","24645","492"
"35","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1661","10","84","57","478","110","21995","488"
"32","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1961","9","99","50","481","95","25970","490"
