"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"265","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1281","6","65","9","179","88","12910.5","185"
"268","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1161","4","59","12","85","102","9363","89"
"273","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1101","5","56","13","120","108","9498.5","125"
"278","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","721","0","37","9","52","110","5721","52"
"280","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","481","1","25","5","18","80","3474","19"
"267","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1681","3","85","12","233","87","17116.5","236"
"276","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1041","1","53","17","113","125","8968","114"
"274","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1181","3","60","23","146","179","10800.5","149"
"275","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1181","0","60","12","127","90","10585","127"
"270","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1741","2","88","7","168","77","17308.5","170"
"272","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1461","3","74","13","210","107","15319.5","213"
"271","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1821","3","92","16","196","94","20009","199"
"284","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","421","0","22","16","12","214","2994","12"
"285","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","361","1","19","25","6","148","2557","7"
"282","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","781","2","40","13","51","119","6082","53"
"279","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1141","5","58","10","261","68","12772.5","266"
"283","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","921","4","47","14","115","121","8099.5","119"
"291","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","541","2","28","21","21","252","3968","23"
"294","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","561","0","29","8","25","85","4198","25"
"281","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1721","6","87","5","218","94","19421","224"
"286","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1141","2","58","16","208","134","11655.5","210"
"289","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1201","2","61","9","231","84","13099","233"
"287","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1461","1","74","7","141","81","14137","142"
"288","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1321","7","67","15","265","86","15174.5","272"
"293","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1221","4","62","14","166","80","12267.5","170"
"301","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","361","1","19","19","7","202","6011.5","8"
"295","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1241","2","63","14","142","137","11399.5","144"
"290","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1721","3","87","14","218","95","18833","221"
"292","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1381","4","70","6","174","96","13292","178"
"302","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","341","0","18","21","7","214","5658","7"
"296","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1161","5","59","9","177","98","11649","182"
"303","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","421","1","22","28","15","256","7017","16"
"297","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1141","6","58","10","258","87","13191","264"
"300","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","841","1","43","13","66","171","6776","67"
"299","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1041","2","53","12","145","110","9672.5","147"
"307","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","381","0","20","3","11","76","6337.5","11"
"308","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","381","0","20","8","11","82","6337","11"
"304","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","601","1","31","6","46","85","10156.5","47"
"305","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","541","0","28","6","12","101","9000.5","12"
"306","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","521","0","27","12","16","109","8678","16"
"310","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","441","0","23","31","19","280","7371","19"
"311","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","361","0","19","12","10","123","6013","10"
"309","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","581","0","30","8","17","80","9718.5","17"
"313","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","361","0","19","12","9","97","5995.5","9"
"318","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","361","1","19","16","8","104","5998","9"
"316","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","421","1","22","7","8","79","7000","9"
"298","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1841","4","93","4","157","70","17247","161"
"317","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","501","1","26","6","30","85","8390.5","31"
"315","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","601","1","31","6","32","80","10054","33"
"312","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1081","3","55","20","50","152","18299","53"
"314","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1021","0","52","12","67","116","17284","67"
"320","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","721","2","37","9","42","107","12176.5","44"
"319","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","821","2","42","5","53","95","13821.5","55"
"321","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","701","2","36","5","43","78","11785.5","45"
"323","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","701","0","36","11","29","99","11727","29"
"325","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","401","1","21","12","12","104","6694.5","13"
"324","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","481","0","25","15","18","97","8013.5","18"
"327","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","381","0","20","23","10","181","6329.5","10"
"326","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","461","0","24","18","12","115","7684","12"
"328","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","381","0","20","10","13","128","6353.5","13"
"322","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","921","0","47","22","38","115","15545.5","38"
"331","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","281","0","15","16","6","174","4667","6"
"335","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","401","0","21","9","12","116","6677","12"
"334","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","441","1","23","38","12","301","7345.5","13"
"329","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","661","0","34","29","18","271","11042","18"
"338","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","521","0","27","19","16","193","8666","16"
"341","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","441","1","23","12","11","121","7362.5","12"
"340","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","781","0","40","12","35","113","13034.5","35"
"337","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","921","2","47","17","42","142","15496","44"
"342","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","461","4","24","11","10","91","7694","14"
"332","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1101","2","56","9","67","73","18826","69"
"343","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","581","1","30","12","27","109","9684","28"
"346","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","361","0","19","28","11","194","5999.5","11"
"345","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","601","0","31","13","23","113","9710.5","23"
"344","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","721","1","37","15","24","105","12099.5","25"
"333","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1321","1","67","15","30","127","22124","31"
"339","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1301","1","66","7","55","96","21987","56"
"330","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1641","4","83","17","67","158","27658.5","71"
"336","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","1541","1","78","10","42","87","26105","43"
"347","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","661","0","34","9","17","90","11013.5","17"
"350","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","421","0","22","8","9","90","7022","9"
"351","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","461","0","24","8","12","96","6322","12"
"348","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","721","5","37","4","59","86","12217","64"
"355","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","381","0","20","22","9","278","5222","9"
"349","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student+worker","18","200","12","681","1","35","6","27","72","11398","28"
"353","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","461","0","24","8","23","75","6373","23"
"352","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","481","1","25","15","20","151","6617.5","21"
"356","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","401","0","21","30","7","204","5195","7"
"358","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","661","0","34","8","41","100","9242","41"
"360","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","essential_activities","18","200","12","541","0","28","16","18","165","7463","18"
