"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"207","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","7","20","66","493","120","7161.25","500"
"208","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","16","21","58","484","111","7489.75","500"
"210","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","15","22","47","485","79","7877","500"
"209","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","461","14","24","41","486","87","8677.5","500"
"211","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","9","21","83","491","166","7534.75","500"
"212","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","10","22","61","490","104","7900.5","500"
"214","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","9","21","63","491","104","7519.25","500"
"213","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","10","22","36","490","73","7954.5","500"
"218","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","14","21","49","486","87","7480","500"
"216","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","8","21","84","492","164","7168.5","500"
"217","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","8","21","58","492","104","7522.25","500"
"215","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","11","22","111","489","213","7950.25","500"
