"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"584","29","500","false","false","53","3","14","lockdown_retired+student","18","381","11","19","489","2647","500"
"585","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2641","500"
"586","29","500","false","false","53","3","14","lockdown_retired+student","18","381","15","19","485","2638.5","500"
"588","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2643","500"
"587","29","500","false","false","53","3","14","lockdown_retired+student","18","401","16","20","484","2773","500"
"589","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2643.5","500"
"590","29","500","false","false","53","3","14","lockdown_retired+student","18","361","12","18","488","2510.5","500"
"591","29","500","false","false","53","3","14","lockdown_retired+student","18","381","8","19","492","2647.5","500"
"592","29","500","false","false","53","3","14","lockdown_retired+student","18","381","16","19","484","2641","500"
"593","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2640.5","500"
"595","29","500","false","false","53","3","14","lockdown_retired+student","18","361","10","18","490","2508","500"
"594","29","500","false","false","53","3","14","lockdown_retired+student","18","361","11","18","489","2509","500"
"596","29","500","false","false","53","3","14","lockdown_retired+student","18","401","15","20","485","2772.5","500"
"598","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2509.5","500"
"597","29","500","false","false","53","3","14","lockdown_retired+student","18","381","8","19","492","2648.5","500"
"599","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2507.5","500"
"600","29","500","false","false","53","3","14","lockdown_retired+student","18","381","9","19","491","2647.5","500"
"601","29","500","false","false","53","3","14","lockdown_student+worker","18","461","10","23","490","7647.5","500"
"602","29","500","false","false","53","3","14","lockdown_student+worker","18","501","10","25","490","8312.5","500"
"603","29","500","false","false","53","3","14","lockdown_student+worker","18","501","11","25","489","8312.5","500"
"604","29","500","false","false","53","3","14","lockdown_student+worker","18","481","12","24","488","7980","500"
"606","29","500","false","false","53","3","14","lockdown_student+worker","18","461","9","23","491","7647.5","500"
"605","29","500","false","false","53","3","14","lockdown_student+worker","18","501","5","25","495","8312.5","500"
"607","29","500","false","false","53","3","14","lockdown_student+worker","18","501","10","25","490","8312.5","500"
"608","29","500","false","false","53","3","14","lockdown_student+worker","18","481","10","24","490","7980","500"
"609","29","500","false","false","53","3","14","lockdown_student+worker","18","461","7","23","493","7647.5","500"
"610","29","500","false","false","53","3","14","lockdown_student+worker","18","481","12","24","488","7980","500"
"611","29","500","false","false","53","3","14","lockdown_student+worker","18","461","13","23","487","7647.5","500"
"612","29","500","false","false","53","3","14","lockdown_student+worker","18","501","15","25","485","8312.5","500"
"613","29","500","false","false","53","3","14","lockdown_student+worker","18","501","11","25","489","8312.5","500"
"615","29","500","false","false","53","3","14","lockdown_student+worker","18","501","9","25","491","8312.5","500"
"616","29","500","false","false","53","3","14","lockdown_student+worker","18","461","13","23","487","7647.5","500"
"614","29","500","false","false","53","3","14","lockdown_student+worker","18","501","12","25","488","8312.5","500"
"617","29","500","false","false","53","3","14","lockdown_student+worker","18","481","16","24","484","7980","500"
"618","29","500","false","false","53","3","14","lockdown_student+worker","18","501","7","25","493","8312.5","500"
"620","29","500","false","false","53","3","14","lockdown_student+worker","18","441","13","22","487","7315","500"
"619","29","500","false","false","53","3","14","lockdown_student+worker","18","481","9","24","491","7980","500"
"621","29","500","false","false","53","3","14","lockdown_student+worker","18","481","15","24","485","7980","500"
"623","29","500","false","false","53","3","14","lockdown_student+worker","18","501","7","25","493","8312.5","500"
"622","29","500","false","false","53","3","14","lockdown_student+worker","18","521","13","26","487","8645","500"
"624","29","500","false","false","53","3","14","lockdown_student+worker","18","441","8","22","492","7315","500"
"626","29","500","false","false","53","3","14","lockdown_student+worker","18","461","10","23","490","7647.5","500"
"629","29","500","false","false","53","3","14","lockdown_student+worker","18","481","10","24","490","7980","500"
"627","29","500","false","false","53","3","14","lockdown_student+worker","18","481","15","24","485","7980","500"
"625","29","500","false","false","53","3","14","lockdown_student+worker","18","501","8","25","492","8312.5","500"
"630","29","500","false","false","53","3","14","lockdown_student+worker","18","461","11","23","489","7647.5","500"
"628","29","500","false","false","53","3","14","lockdown_student+worker","18","541","10","27","490","8977.5","500"
"631","29","500","false","false","53","3","14","lockdown_student+worker","18","481","15","24","485","7980","500"
"632","29","500","false","false","53","3","14","lockdown_student+worker","18","501","12","25","488","8312.5","500"
"633","29","500","false","false","53","3","14","lockdown_student+worker","18","481","16","24","484","7980","500"
"634","29","500","false","false","53","3","14","lockdown_student+worker","18","481","10","24","490","7980","500"
"635","29","500","false","false","53","3","14","lockdown_student+worker","18","521","11","26","489","8645","500"
"637","29","500","false","false","53","3","14","lockdown_student+worker","18","501","9","25","491","8312.5","500"
"638","29","500","false","false","53","3","14","lockdown_student+worker","18","501","14","25","486","8312.5","500"
"636","29","500","false","false","53","3","14","lockdown_student+worker","18","481","12","24","488","7980","500"
"639","29","500","false","false","53","3","14","lockdown_student+worker","18","501","7","25","493","8312.5","500"
"640","29","500","false","false","53","3","14","lockdown_student+worker","18","481","9","24","491","7980","500"
"643","29","500","false","false","53","3","14","lockdown_student+worker","18","481","15","24","485","7980","500"
"641","29","500","false","false","53","3","14","lockdown_student+worker","18","501","13","25","487","8312.5","500"
"642","29","500","false","false","53","3","14","lockdown_student+worker","18","501","9","25","491","7980","500"
"644","29","500","false","false","53","3","14","lockdown_student+worker","18","461","12","23","488","7647.5","500"
"645","29","500","false","false","53","3","14","lockdown_student+worker","18","481","11","24","489","7980","500"
"646","29","500","false","false","53","3","14","lockdown_student+worker","18","501","10","25","490","8312.5","500"
"647","29","500","false","false","53","3","14","lockdown_student+worker","18","481","18","24","482","7980","500"
"648","29","500","false","false","53","3","14","lockdown_student+worker","18","501","13","25","487","8312.5","500"
"651","29","500","false","false","53","3","14","lockdown_student+worker","18","461","12","23","488","7647.5","500"
"649","29","500","false","false","53","3","14","lockdown_student+worker","18","601","8","30","492","9975","500"
"650","29","500","false","false","53","3","14","lockdown_student+worker","18","481","7","24","493","7980","500"
"653","29","500","false","false","53","3","14","lockdown_student+worker","18","461","12","23","488","7647.5","500"
"654","29","500","false","false","53","3","14","lockdown_student+worker","18","501","20","25","480","8312.5","500"
"652","29","500","false","false","53","3","14","lockdown_student+worker","18","501","13","25","487","8312.5","500"
"655","29","500","false","false","53","3","14","lockdown_student+worker","18","461","12","23","488","7647.5","500"
"658","29","500","false","false","53","3","14","lockdown_student+worker","18","481","10","24","490","7980","500"
"657","29","500","false","false","53","3","14","lockdown_student+worker","18","461","13","23","487","7647.5","500"
"659","29","500","false","false","53","3","14","lockdown_student+worker","18","441","10","22","490","7315","500"
"656","29","500","false","false","53","3","14","lockdown_student+worker","18","501","11","25","489","8312.5","500"
"660","29","500","false","false","53","3","14","lockdown_student+worker","18","481","9","24","491","7980","500"
"662","29","500","false","false","53","3","14","lockdown_student+worker","18","481","15","24","485","7980","500"
"661","29","500","false","false","53","3","14","lockdown_student+worker","18","521","14","26","486","8645","500"
"665","29","500","false","false","53","3","14","lockdown_student+worker","18","461","10","23","490","7647.5","500"
"664","29","500","false","false","53","3","14","lockdown_student+worker","18","541","12","27","488","8977.5","500"
"663","29","500","false","false","53","3","14","lockdown_student+worker","18","501","14","25","486","8312.5","500"
"666","29","500","false","false","53","3","14","lockdown_student+worker","18","481","12","24","488","7980","500"
"667","29","500","false","false","53","3","14","lockdown_student+worker","18","481","12","24","488","7980","500"
"668","29","500","false","false","53","3","14","lockdown_student+worker","18","501","14","25","486","8312.5","500"
"670","29","500","false","false","53","3","14","lockdown_student+worker","18","481","8","24","492","7980","500"
"669","29","500","false","false","53","3","14","lockdown_student+worker","18","521","16","26","484","8645","500"
"671","29","500","false","false","53","3","14","lockdown_student+worker","18","561","14","28","486","9310","500"
"672","29","500","false","false","53","3","14","lockdown_student+worker","18","501","10","25","490","8312.5","500"
"673","29","500","false","false","53","3","14","lockdown_student+worker","18","441","15","22","485","7315","500"
"675","29","500","false","false","53","3","14","lockdown_student+worker","18","461","12","23","488","7647.5","500"
"676","29","500","false","false","53","3","14","lockdown_student+worker","18","461","11","23","489","7647.5","500"
"674","29","500","false","false","53","3","14","lockdown_student+worker","18","501","16","25","484","8312.5","500"
"677","29","500","false","false","53","3","14","lockdown_student+worker","18","461","16","23","484","7647.5","500"
"678","29","500","false","false","53","3","14","lockdown_student+worker","18","501","15","25","485","8312.5","500"
"681","29","500","false","false","53","3","14","lockdown_student+worker","18","441","11","22","489","7315","500"
"679","29","500","false","false","53","3","14","lockdown_student+worker","18","461","14","23","486","7647.5","500"
"680","29","500","false","false","53","3","14","lockdown_student+worker","18","481","9","24","491","7980","500"
"683","29","500","false","false","53","3","14","lockdown_student+worker","18","461","15","23","485","7647.5","500"
"682","29","500","false","false","53","3","14","lockdown_student+worker","18","521","6","26","494","8645","500"
"685","29","500","false","false","53","3","14","lockdown_student+worker","18","441","18","22","482","7315","500"
"684","29","500","false","false","53","3","14","lockdown_student+worker","18","501","8","25","492","8312.5","500"
"686","29","500","false","false","53","3","14","lockdown_student+worker","18","541","12","27","488","8977.5","500"
"688","29","500","false","false","53","3","14","lockdown_student+worker","18","461","13","23","487","7647.5","500"
"687","29","500","false","false","53","3","14","lockdown_student+worker","18","541","11","27","489","8977.5","500"
"689","29","500","false","false","53","3","14","lockdown_student+worker","18","501","9","25","491","7980","500"
"691","29","500","false","false","53","3","14","lockdown_student+worker","18","461","10","23","490","7647.5","500"
"690","29","500","false","false","53","3","14","lockdown_student+worker","18","481","16","24","484","7980","500"
"693","29","500","false","false","53","3","14","lockdown_student+worker","18","521","11","26","489","8645","500"
"692","29","500","false","false","53","3","14","lockdown_student+worker","18","501","14","25","486","8312.5","500"
"695","29","500","false","false","53","3","14","lockdown_student+worker","18","461","8","23","492","7647.5","500"
"694","29","500","false","false","53","3","14","lockdown_student+worker","18","481","11","24","489","7980","500"
"697","29","500","false","false","53","3","14","lockdown_student+worker","18","461","9","23","491","7647.5","500"
"696","29","500","false","false","53","3","14","lockdown_student+worker","18","481","13","24","487","7980","500"
"698","29","500","false","false","53","3","14","lockdown_student+worker","18","461","10","23","490","7647.5","500"
