[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
173,true,true,29,500,53,2,14,all,18,501,0,25,10,8100,10
146,true,true,29,500,53,2,14,essential_activities,18,2321,4,116,162,32972.5,166
168,true,true,29,500,53,2,14,all,18,921,0,46,14,16605,14
179,true,true,29,500,53,2,14,all,18,381,1,19,5,6075,6
174,true,true,29,500,53,2,14,all,18,461,0,23,13,7695,13
180,true,true,29,500,53,2,14,all,18,381,0,19,7,6480,7
177,true,true,29,500,53,2,14,all,18,541,0,27,20,9315,20
176,true,true,29,500,53,2,14,all,18,521,0,26,25,8910,25
175,true,true,29,500,53,2,14,all,18,681,1,34,19,12142,20
178,true,true,29,500,53,2,14,all,18,1041,0,52,21,19440,21
