"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"160","29","500","true","true","53","3","14","lockdown_retired","18","2201","6","110","312","25684.5","318"
"167","29","500","true","true","53","3","14","lockdown_retired","18","1061","7","53","311","9794.5","318"
"164","29","500","true","true","53","3","14","lockdown_retired","18","1561","6","78","316","18072.25","322"
"169","29","500","true","true","53","3","14","lockdown_retired","18","1201","2","60","187","8081.25","189"
"165","29","500","true","true","53","3","14","lockdown_retired","18","1441","6","72","287","14414.75","293"
"170","29","500","true","true","53","3","14","lockdown_retired","18","1181","6","59","324","11246.25","330"
"172","29","500","true","true","53","3","14","lockdown_retired","18","1041","7","52","305","9481.25","312"
"168","29","500","true","true","53","3","14","lockdown_retired","18","1261","9","63","328","12640.5","337"
"173","29","500","true","true","53","3","14","lockdown_retired","18","1061","7","53","306","10680.5","313"
"174","29","500","true","true","53","3","14","lockdown_retired","18","1101","6","55","280","9171.75","286"
"171","29","500","true","true","53","3","14","lockdown_retired","18","1401","6","70","277","12905.25","283"
"177","29","500","true","true","53","3","14","lockdown_retired","18","1121","8","56","284","10013.25","292"
"176","29","500","true","true","53","3","14","lockdown_retired","18","1261","7","63","304","12267","311"
"181","29","500","true","true","53","3","14","lockdown_retired","18","1041","4","52","284","10074.75","288"
"180","29","500","true","true","53","3","14","lockdown_retired","18","1201","8","60","309","11408.25","317"
"179","29","500","true","true","53","3","14","lockdown_retired","18","1321","8","66","239","9810.25","247"
"184","29","500","true","true","53","3","14","lockdown_retired","18","1041","7","52","345","10403.5","352"
"185","29","500","true","true","53","3","14","lockdown_retired","18","1061","5","53","306","9746","311"
"183","29","500","true","true","53","3","14","lockdown_retired","18","1041","4","52","315","10548.25","319"
"186","29","500","true","true","53","3","14","lockdown_retired","18","1121","3","56","278","10128","281"
"175","29","500","true","true","53","3","14","lockdown_retired","18","2201","7","110","319","21764.75","326"
"178","29","500","true","true","53","3","14","lockdown_retired","18","2161","6","108","344","25908.5","350"
"188","29","500","true","true","53","3","14","lockdown_retired","18","921","10","46","277","8370","287"
"187","29","500","true","true","53","3","14","lockdown_retired","18","1001","7","50","300","9445","307"
"182","29","500","true","true","53","3","14","lockdown_retired","18","1921","3","96","224","13850.25","227"
"190","29","500","true","true","53","3","14","lockdown_retired","18","901","8","45","313","8698","321"
"189","29","500","true","true","53","3","14","lockdown_retired","18","1121","7","56","282","10278.25","289"
"193","29","500","true","true","53","3","14","lockdown_retired","18","961","8","48","320","10229.5","328"
"191","29","500","true","true","53","3","14","lockdown_retired","18","1421","6","71","299","15132.5","305"
"194","29","500","true","true","53","3","14","lockdown_retired","18","981","4","49","308","9180.5","312"
"192","29","500","true","true","53","3","14","lockdown_retired","18","1581","6","79","226","12999","232"
"196","29","500","true","true","53","3","14","lockdown_retired","18","1181","9","59","297","11325","306"
"199","29","500","true","true","53","3","14","lockdown_retired","18","941","8","47","336","9818.5","344"
"195","29","500","true","true","53","3","14","lockdown_retired","18","1641","9","82","257","15601.75","266"
"198","29","500","true","true","53","3","14","lockdown_retired","18","1261","10","63","269","11603.75","279"
"200","29","500","true","true","53","3","14","lockdown_retired","18","1261","9","63","334","12487.25","343"
"203","29","500","true","true","53","3","14","lockdown_student","18","981","9","49","318","9121","327"
"202","29","500","true","true","53","3","14","lockdown_student","18","1441","5","72","265","11940.5","270"
"201","29","500","true","true","53","3","14","lockdown_student","18","1641","6","82","290","13620","296"
"197","29","500","true","true","53","3","14","lockdown_retired","18","1901","7","95","330","21638","337"
"204","29","500","true","true","53","3","14","lockdown_student","18","1081","9","54","352","11251","361"
"208","29","500","true","true","53","3","14","lockdown_student","18","1081","3","54","327","10792.5","330"
"210","29","500","true","true","53","3","14","lockdown_student","18","1001","7","50","269","8373.5","276"
"206","29","500","true","true","53","3","14","lockdown_student","18","1221","10","61","303","10454","313"
"207","29","500","true","true","53","3","14","lockdown_student","18","1561","9","78","346","17806.5","355"
"209","29","500","true","true","53","3","14","lockdown_student","18","1421","4","71","270","11970","274"
"205","29","500","true","true","53","3","14","lockdown_student","18","1681","11","84","285","16475.5","296"
"212","29","500","true","true","53","3","14","lockdown_student","18","1021","3","51","206","7631.5","209"
"211","29","500","true","true","53","3","14","lockdown_student","18","1381","6","69","305","11495","311"
"216","29","500","true","true","53","3","14","lockdown_student","18","1201","5","60","270","9690","275"
"214","29","500","true","true","53","3","14","lockdown_student","18","1521","11","76","305","12498.5","316"
"218","29","500","true","true","53","3","14","lockdown_student","18","1141","9","57","290","10908.5","299"
"219","29","500","true","true","53","3","14","lockdown_student","18","1121","9","56","294","9878","303"
